,Player Name,Nation,Squad,Competition,Matches Played,Minutes Played,Gls 90,Ast 90,G+A 90,xG 90,xAG 90,Position,Age,Yellow Cards,Red Cards,Fouls commited,Fouls Drawn,Interceptions,Loose Ball Recovered,Aerial Duels Won %,Crosses,Shots on Target pr 90,Shots Total pr 90,Goals pr shot,Goals pr Shot on target,Average shooting distance,Short Cmp %,Medium Cmp%,Long Cmp%,Passes lead to shot,Completed passes into 1/3 offensive pitch,Completed passes into penalty area,Completed crosses into penalty area,Progressive passes,Tackles,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Tackle succes %,Number of times dribbled,Blocks total (shots+passes),Shots blocked,Passes blocked,Clearances,Shot creating actions 90,Completed liveball passes lead to shot,Completed deadball passes lead to shot,Succesfull dribbles lead to shot,Shot lead to another shot,Fouls Drawn lead to shot,Defensive actions lead to shot,Goal Creating Action 90,liveball passes lead to goal,Deadball passes lead to goal,Dribbles lead to goal,Shots that lead goal scoring shot,Fouls drawn lead to goal,Defensive actions lead to goal,Elo,market_value
90,waldemar anton,de GER,Stuttgart,de Bundesliga,15,1344,0.07,0.0,0.07,0.04,0.04,DF,26.0,2,0,15,15,20,106.0,55.6,12,0.2,0.54,0.13,0.33,19.9,86.7,90.1,55.0,6.0,47.0,10.0,4.0,49.0,26.0,14.0,11.0,1.0,56.3,7.0,21.0,10.0,11.0,61.0,1.21,13.0,2.0,1.0,2.0,0.0,0.0,0.07,0.0,0.0,0.0,1.0,0.0,0.0,1628,4500000.0
92,michail antonio,jm JAM,West Ham,eng Premier League,14,607,0.3,0.15,0.44,0.3,0.06,FW,32.0,1,0,11,14,2,11.0,39.0,10,0.89,2.08,0.14,0.33,14.2,64.3,50.0,25.0,7.0,6.0,4.0,1.0,5.0,3.0,0.0,2.0,1.0,50.0,1.0,5.0,1.0,4.0,3.0,2.52,11.0,0.0,3.0,2.0,1.0,0.0,0.59,2.0,0.0,1.0,1.0,0.0,0.0,1768,9000000.0
93,antony,br BRA,Manchester Utd,eng Premier League,6,491,0.55,0.0,0.55,0.3,0.07,FW,22.0,1,0,2,7,3,20.0,28.6,11,1.65,3.67,0.15,0.33,21.8,87.8,74.0,46.2,7.0,9.0,4.0,0.0,8.0,8.0,3.0,5.0,0.0,25.0,6.0,6.0,0.0,6.0,1.0,3.85,19.0,0.0,1.0,0.0,1.0,0.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,1850,75000000.0
95,christopher antwi adjei,gh GHA,Bochum,de Bundesliga,10,453,0.4,0.4,0.79,0.31,0.15,FW,28.0,0,0,3,7,1,27.0,30.0,13,0.79,2.19,0.18,0.5,17.4,80.0,55.1,41.7,8.0,3.0,11.0,4.0,10.0,6.0,2.0,1.0,3.0,28.6,5.0,6.0,0.0,6.0,1.0,3.96,9.0,3.0,1.0,3.0,4.0,0.0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,1609,1000000.0
99,dennis appiah,fr FRA,Nantes,fr Ligue 1,15,795,0.0,0.0,0.0,0.05,0.02,DF,30.0,1,0,16,1,10,50.0,50.0,21,0.11,0.57,0.0,0.0,19.3,79.6,75.5,41.5,4.0,30.0,7.0,4.0,28.0,21.0,14.0,7.0,0.0,37.0,17.0,13.0,5.0,8.0,16.0,1.25,8.0,1.0,2.0,0.0,0.0,0.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,1592,1500000.0
100,mauro arambarri,uy URU,Getafe,es La Liga,6,511,0.0,0.18,0.18,0.03,0.17,MF,27.0,2,1,9,8,5,30.0,44.4,25,0.0,0.88,0.0,0.0,27.3,93.1,90.6,59.6,9.0,18.0,4.0,2.0,13.0,7.0,3.0,3.0,1.0,9.1,10.0,10.0,3.0,7.0,7.0,2.29,6.0,7.0,0.0,0.0,0.0,0.0,0.53,2.0,1.0,0.0,0.0,0.0,0.0,1632,15000000.0
101,charles aranguiz,cl CHI,Leverkusen,de Bundesliga,10,493,0.18,0.0,0.18,0.06,0.04,MF,33.0,1,0,7,10,7,33.0,22.2,12,0.37,0.91,0.2,0.5,18.5,88.3,87.5,38.5,3.0,21.0,3.0,0.0,24.0,17.0,7.0,10.0,0.0,60.0,8.0,4.0,0.0,4.0,4.0,1.83,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1759,3500000.0
102,ronald araujo,uy URU,Barcelona,es La Liga,6,510,0.0,0.0,0.0,0.1,0.03,DF,23.0,2,0,2,3,7,19.0,60.0,1,0.0,0.53,0.0,0.0,14.0,90.9,92.0,62.2,1.0,34.0,1.0,0.0,17.0,8.0,4.0,4.0,0.0,66.7,1.0,1.0,0.0,1.0,11.0,1.06,5.0,0.0,0.0,1.0,0.0,0.0,0.35,2.0,0.0,0.0,0.0,0.0,0.0,1883,60000000.0
105,joe aribo,ng NGA,Southampton,eng Premier League,15,944,0.19,0.0,0.19,0.14,0.07,MF,26.0,1,0,7,10,5,58.0,42.6,6,0.76,1.14,0.17,0.25,10.0,77.7,74.0,80.0,9.0,18.0,9.0,0.0,21.0,28.0,13.0,11.0,4.0,62.5,6.0,12.0,1.0,11.0,10.0,2.38,22.0,0.0,1.0,1.0,1.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,1673,15000000.0
106,adam armstrong,eng ENG,Southampton,eng Premier League,14,869,0.1,0.1,0.21,0.11,0.07,FW,25.0,0,0,8,5,2,36.0,13.3,12,0.72,1.66,0.06,0.14,16.1,84.3,81.2,61.1,10.0,9.0,8.0,2.0,14.0,8.0,3.0,3.0,2.0,0.0,4.0,13.0,3.0,10.0,4.0,1.76,16.0,0.0,0.0,0.0,1.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1673,15000000.0
107,stuart armstrong,sct SCO,Southampton,eng Premier League,14,690,0.13,0.0,0.13,0.14,0.2,MF,30.0,2,0,7,11,3,40.0,50.0,15,0.39,1.57,0.08,0.33,18.3,87.2,80.2,69.0,10.0,22.0,19.0,5.0,35.0,13.0,6.0,5.0,2.0,20.0,12.0,9.0,0.0,9.0,5.0,4.18,26.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1673,6000000.0
108,marko arnautovic,at AUT,Bologna,it Serie A,13,1099,0.66,0.0,0.66,0.46,0.14,FW,33.0,4,0,17,12,2,26.0,43.8,8,0.82,1.64,0.25,0.5,15.1,76.0,77.3,55.0,19.0,13.0,11.0,1.0,21.0,8.0,2.0,4.0,2.0,25.0,3.0,7.0,1.0,6.0,8.0,2.7,27.0,0.0,2.0,2.0,2.0,0.0,0.25,2.0,0.0,1.0,0.0,0.0,0.0,1608,9000000.0
109,maximilian arnold,de GER,Wolfsburg,de Bundesliga,15,1307,0.21,0.14,0.34,0.09,0.18,MF,28.0,4,0,14,32,8,119.0,56.5,84,0.34,1.1,0.13,0.4,30.8,86.3,83.8,55.2,23.0,51.0,10.0,2.0,49.0,29.0,12.0,12.0,5.0,57.1,9.0,23.0,8.0,15.0,31.0,3.31,23.0,23.0,1.0,0.0,1.0,0.0,0.21,1.0,2.0,0.0,0.0,0.0,0.0,1731,17000000.0
111,tolgay arslan,de GER,Udinese,it Serie A,14,509,0.18,0.0,0.18,0.13,0.05,MF,32.0,1,0,9,14,7,29.0,75.0,6,0.35,1.59,0.11,0.5,20.3,86.5,85.0,73.5,3.0,19.0,4.0,0.0,27.0,12.0,7.0,5.0,0.0,44.4,5.0,4.0,0.0,4.0,7.0,2.3,8.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1669,2000000.0
112,arthur,br BRA,Fiorentina,it Serie A,12,497,0.36,0.18,0.54,0.43,0.07,FW,24.0,1,0,4,5,0,11.0,48.6,1,0.91,2.9,0.06,0.2,11.8,81.1,89.5,80.0,7.0,1.0,4.0,0.0,9.0,6.0,1.0,1.0,4.0,66.7,2.0,4.0,0.0,4.0,2.0,2.16,9.0,0.0,0.0,2.0,1.0,0.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,1648,180000.0
114,takuma asano,jp JPN,Bochum,de Bundesliga,6,399,0.0,0.0,0.0,0.14,0.1,MF,28.0,0,0,2,8,3,18.0,28.6,8,0.68,1.8,0.0,0.0,17.9,78.2,79.2,40.0,7.0,7.0,4.0,2.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,4.0,0.0,3.16,11.0,0.0,0.0,0.0,3.0,0.0,0.23,1.0,0.0,0.0,0.0,0.0,0.0,1609,3000000.0
115,santiago ascacibar,ar ARG,Cremonese,it Serie A,12,699,0.0,0.0,0.0,0.05,0.05,MF,25.0,1,0,11,7,13,60.0,35.7,5,0.39,1.8,0.0,0.0,27.2,87.9,92.6,61.1,8.0,46.0,7.0,2.0,33.0,27.0,16.0,9.0,2.0,48.3,15.0,13.0,2.0,11.0,11.0,2.96,15.0,1.0,0.0,7.0,0.0,0.0,0.39,1.0,0.0,0.0,2.0,0.0,0.0,1473,6500000.0
117,kristoffer askildsen,no NOR,Lecce,it Serie A,12,501,0.0,0.0,0.0,0.08,0.05,MF,21.0,2,0,9,5,8,28.0,47.8,19,0.54,1.62,0.0,0.0,24.4,75.0,67.2,52.8,5.0,16.0,2.0,0.0,13.0,5.0,1.0,2.0,2.0,40.0,3.0,10.0,2.0,8.0,5.0,2.34,7.0,4.0,0.0,0.0,2.0,0.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,1545,2000000.0
120,iago aspas,es ESP,Celta Vigo,es La Liga,14,1122,0.56,0.16,0.72,0.29,0.18,FW,35.0,3,0,4,31,4,45.0,31.0,18,1.04,2.09,0.23,0.46,20.1,84.9,76.8,68.2,36.0,34.0,15.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,9.0,4.01,40.0,2.0,1.0,2.0,5.0,0.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,1634,7000000.0
122,youcef atal,dz ALG,Nice,fr Ligue 1,12,624,0.14,0.0,0.14,0.12,0.17,DF,26.0,1,0,9,15,11,41.0,46.2,33,0.72,1.3,0.11,0.2,16.3,88.1,82.9,55.1,10.0,22.0,14.0,7.0,26.0,34.0,16.0,14.0,4.0,84.0,4.0,6.0,0.0,6.0,11.0,3.74,19.0,0.0,3.0,2.0,2.0,0.0,0.29,1.0,0.0,1.0,0.0,0.0,0.0,1647,14000000.0
125,tommaso augello,it ITA,Sampdoria,it Serie A,14,1086,0.0,0.17,0.17,0.01,0.06,DF,28.0,1,0,6,6,6,60.0,53.6,55,0.0,0.25,0.0,0.0,18.7,90.2,72.5,52.7,10.0,36.0,18.0,9.0,43.0,5.0,4.0,1.0,0.0,40.0,3.0,6.0,3.0,3.0,18.0,1.74,17.0,3.0,1.0,0.0,0.0,0.0,0.25,3.0,0.0,0.0,0.0,0.0,0.0,1505,2500000.0
128,mathias autret,fr FRA,Auxerre,fr Ligue 1,13,860,0.21,0.21,0.42,0.21,0.14,MF,31.0,0,0,3,1,6,45.0,18.2,36,1.05,1.78,0.06,0.1,26.7,83.5,86.0,67.6,16.0,43.0,10.0,2.0,30.0,14.0,6.0,7.0,1.0,37.5,5.0,9.0,2.0,7.0,8.0,3.46,20.0,9.0,1.0,3.0,0.0,0.0,0.52,1.0,2.0,0.0,2.0,0.0,0.0,1502,1000000.0
130,cedric avinel,gp GLP,Ajaccio,fr Ligue 1,9,697,0.13,0.0,0.13,0.12,0.0,DF,36.0,1,1,5,0,9,30.0,76.5,0,0.13,0.26,0.5,1.0,1.2,88.2,89.4,65.7,0.0,5.0,0.0,0.0,9.0,6.0,3.0,3.0,0.0,66.7,1.0,6.0,4.0,2.0,39.0,0.13,0.0,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.0,1.0,0.0,0.0,1493,300000.0
131,taiwo awoniyi,ng NGA,Nott'ham Forest,eng Premier League,13,512,0.53,0.0,0.53,0.63,0.12,FW,25.0,0,0,6,7,1,20.0,20.0,1,1.05,2.64,0.2,0.5,10.9,86.4,71.4,50.0,5.0,3.0,1.0,0.0,3.0,5.0,0.0,4.0,1.0,66.7,1.0,5.0,1.0,4.0,7.0,2.11,9.0,0.0,0.0,1.0,2.0,0.0,0.18,0.0,0.0,0.0,1.0,0.0,0.0,1630,20000000.0
133,jordan ayew,gh GHA,Crystal Palace,eng Premier League,14,904,0.0,0.1,0.1,0.07,0.12,FW,31.0,1,0,22,29,3,55.0,40.0,15,0.3,0.6,0.0,0.0,16.3,89.7,80.4,50.0,14.0,8.0,5.0,3.0,14.0,31.0,12.0,10.0,9.0,37.5,10.0,14.0,1.0,13.0,12.0,2.99,22.0,0.0,4.0,1.0,3.0,0.0,0.2,1.0,0.0,0.0,0.0,1.0,0.0,1764,6000000.0
134,kaan ayhan,tr TUR,Sassuolo,it Serie A,10,545,0.0,0.0,0.0,0.0,0.0,DF,28.0,1,0,4,8,5,28.0,22.2,0,0.17,0.17,0.0,0.0,37.5,96.6,92.2,66.7,0.0,20.0,0.0,0.0,10.0,10.0,6.0,4.0,0.0,100.0,0.0,5.0,4.0,1.0,26.0,0.83,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625,4500000.0
138,cesar azpilicueta,es ESP,Chelsea,eng Premier League,11,672,0.0,0.0,0.0,0.02,0.1,DF,33.0,2,0,11,3,12,31.0,55.2,11,0.13,0.4,0.0,0.0,21.9,92.1,80.9,21.4,8.0,16.0,11.0,2.0,28.0,16.0,9.0,4.0,3.0,83.3,2.0,14.0,1.0,13.0,28.0,2.01,15.0,0.0,0.0,0.0,0.0,0.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,1881,8000000.0
140,iddrisu baba,gh GHA,Mallorca,es La Liga,11,547,0.0,0.0,0.0,0.0,0.03,MF,26.0,2,0,12,10,4,36.0,50.0,0,0.0,0.16,0.0,0.0,30.3,93.8,88.3,65.6,2.0,20.0,1.0,0.0,11.0,15.0,6.0,9.0,0.0,54.5,5.0,4.0,0.0,4.0,10.0,0.82,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634,3000000.0
143,benoit badiashile,fr FRA,Monaco,fr Ligue 1,11,839,0.21,0.0,0.21,0.07,0.04,DF,21.0,3,0,10,4,17,67.0,75.0,0,0.32,0.54,0.4,0.67,16.0,89.8,89.4,72.3,1.0,46.0,3.0,0.0,33.0,10.0,6.0,4.0,0.0,50.0,5.0,9.0,6.0,3.0,40.0,0.43,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1715,40000000.0
144,alex baena,es ESP,Villarreal,es La Liga,13,630,0.57,0.0,0.57,0.19,0.22,MF,21.0,6,1,23,14,2,33.0,0.0,7,1.29,2.57,0.22,0.44,20.8,84.1,83.3,65.0,11.0,18.0,8.0,0.0,22.0,11.0,5.0,2.0,4.0,60.0,4.0,5.0,2.0,3.0,10.0,2.85,14.0,0.0,3.0,2.0,1.0,0.0,0.43,1.0,0.0,0.0,1.0,1.0,0.0,1762,15000000.0
146,leon bailey,jm JAM,Aston Villa,eng Premier League,14,827,0.33,0.22,0.54,0.21,0.22,FW,25.0,4,0,15,7,2,27.0,28.6,48,0.65,1.85,0.18,0.5,17.4,73.1,66.7,38.2,12.0,6.0,9.0,6.0,9.0,6.0,3.0,2.0,1.0,30.0,7.0,6.0,0.0,6.0,3.0,2.83,18.0,2.0,4.0,2.0,0.0,0.0,0.33,2.0,0.0,0.0,1.0,0.0,0.0,1744,25000000.0
151,nedim bajrami,al ALB,Empoli,it Serie A,15,814,0.11,0.0,0.11,0.13,0.12,MF,23.0,0,0,5,6,6,42.0,12.5,29,0.55,2.1,0.05,0.2,24.5,81.2,81.0,48.6,14.0,17.0,5.0,0.0,19.0,6.0,3.0,2.0,1.0,66.7,2.0,4.0,0.0,4.0,4.0,3.66,23.0,7.0,1.0,1.0,1.0,0.0,0.11,0.0,0.0,0.0,0.0,1.0,0.0,1559,8000000.0
153,mitchel bakker,nl NED,Leverkusen,de Bundesliga,13,764,0.12,0.12,0.24,0.04,0.1,MF,22.0,3,1,9,7,6,59.0,58.3,11,0.35,0.82,0.14,0.33,23.7,87.6,79.6,46.7,6.0,12.0,6.0,1.0,21.0,8.0,3.0,5.0,0.0,50.0,2.0,6.0,2.0,4.0,11.0,1.3,8.0,3.0,0.0,0.0,0.0,0.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,1759,9000000.0
154,ridle baku,de GER,Wolfsburg,de Bundesliga,15,1280,0.21,0.07,0.28,0.09,0.15,DF,24.0,3,0,12,18,12,83.0,43.3,35,0.42,1.2,0.18,0.5,20.1,87.2,83.2,57.1,15.0,59.0,13.0,5.0,62.0,30.0,18.0,9.0,3.0,60.0,12.0,23.0,4.0,19.0,30.0,2.39,27.0,2.0,2.0,1.0,2.0,0.0,0.28,3.0,0.0,1.0,0.0,0.0,0.0,1731,13000000.0
156,alejandro balde,es ESP,Barcelona,es La Liga,12,968,0.0,0.28,0.28,0.03,0.15,DF,19.0,2,0,7,12,6,67.0,36.4,11,0.19,0.56,0.0,0.0,22.6,94.2,94.6,75.6,8.0,42.0,5.0,4.0,12.0,17.0,10.0,5.0,2.0,66.7,4.0,12.0,1.0,11.0,7.0,1.86,19.0,0.0,1.0,0.0,0.0,0.0,0.28,3.0,0.0,0.0,0.0,0.0,0.0,1883,15000000.0
157,thierno balde,fr FRA,Troyes,fr Ligue 1,11,795,0.0,0.0,0.0,0.02,0.06,DF,20.0,0,0,2,13,10,55.0,33.3,19,0.0,0.34,0.0,0.0,14.2,89.3,81.3,44.4,8.0,10.0,11.0,2.0,23.0,15.0,8.0,4.0,3.0,66.7,6.0,5.0,2.0,3.0,14.0,2.38,16.0,2.0,0.0,1.0,2.0,0.0,0.11,0.0,0.0,0.0,0.0,1.0,0.0,1537,4000000.0
160,leonardo balerdi,ar ARG,Marseille,fr Ligue 1,15,1200,0.0,0.07,0.07,0.01,0.0,DF,23.0,2,0,17,8,32,89.0,47.1,0,0.0,0.07,0.0,0.0,8.5,88.2,89.2,74.5,1.0,36.0,0.0,0.0,22.0,30.0,22.0,7.0,1.0,75.0,6.0,23.0,14.0,9.0,42.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,1737,10000000.0
161,ivan balliu,al ALB,Rayo Vallecano,es La Liga,14,1260,0.0,0.0,0.0,0.02,0.07,DF,30.0,2,0,17,13,13,52.0,55.0,55,0.07,0.29,0.0,0.0,17.7,92.3,79.2,50.0,16.0,50.0,16.0,8.0,49.0,17.0,9.0,8.0,0.0,57.1,3.0,7.0,1.0,6.0,36.0,2.36,27.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637,3500000.0
163,folarin balogun,eng ENG,Reims,fr Ligue 1,15,1076,0.67,0.08,0.75,0.68,0.1,FW,21.0,1,0,13,26,1,41.0,23.3,9,1.17,3.01,0.14,0.36,15.4,75.8,62.9,36.4,11.0,11.0,8.0,0.0,20.0,4.0,0.0,3.0,1.0,0.0,6.0,9.0,0.0,9.0,10.0,2.26,15.0,0.0,6.0,3.0,3.0,0.0,0.33,1.0,0.0,1.0,0.0,2.0,0.0,1594,14000000.0
165,jonathan bamba,fr FRA,Lille,fr Ligue 1,15,1255,0.29,0.22,0.5,0.23,0.22,FW,26.0,3,0,20,28,12,77.0,41.9,41,0.86,2.15,0.13,0.33,16.5,85.0,83.2,58.1,24.0,37.0,22.0,5.0,42.0,13.0,5.0,5.0,3.0,40.0,9.0,15.0,0.0,15.0,5.0,4.16,50.0,2.0,2.0,3.0,1.0,0.0,0.5,6.0,0.0,0.0,1.0,0.0,0.0,1701,20000000.0
166,patrick bamford,eng ENG,Leeds United,eng Premier League,10,429,0.0,0.21,0.21,0.86,0.06,FW,29.0,0,0,7,5,0,12.0,40.0,1,1.68,3.36,0.0,0.0,14.3,75.0,66.7,0.0,4.0,4.0,3.0,0.0,4.0,3.0,0.0,3.0,0.0,12.5,7.0,2.0,1.0,1.0,5.0,0.84,4.0,0.0,0.0,0.0,0.0,0.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,1711,12000000.0
167,lameck banda,zm ZAM,Lecce,it Serie A,15,889,0.1,0.1,0.2,0.07,0.09,FW,21.0,2,0,14,22,3,42.0,25.0,23,0.61,1.62,0.06,0.17,20.0,74.0,63.5,50.0,6.0,10.0,6.0,1.0,13.0,16.0,7.0,7.0,2.0,41.2,10.0,15.0,2.0,13.0,2.0,1.82,8.0,0.0,6.0,1.0,3.0,0.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,1545,3000000.0
168,filippo bandinelli,it ITA,Empoli,it Serie A,15,1050,0.17,0.0,0.17,0.11,0.11,MF,27.0,3,0,24,28,8,59.0,36.4,46,0.34,1.11,0.15,0.5,21.7,84.2,82.1,43.1,16.0,24.0,17.0,12.0,33.0,24.0,9.0,9.0,6.0,38.5,8.0,9.0,3.0,6.0,21.0,2.57,28.0,0.0,0.0,1.0,1.0,0.0,0.17,2.0,0.0,0.0,0.0,0.0,0.0,1559,3500000.0
169,leo baptistao,br BRA,Almería,es La Liga,11,564,0.32,0.16,0.48,0.21,0.1,FW,30.0,3,0,15,6,8,40.0,28.0,8,0.8,2.39,0.13,0.4,14.0,76.1,70.8,42.9,8.0,7.0,5.0,2.0,12.0,14.0,7.0,5.0,2.0,61.5,5.0,3.0,0.0,3.0,4.0,2.56,12.0,0.0,1.0,2.0,0.0,1.0,0.32,2.0,0.0,0.0,0.0,0.0,0.0,1611,1800000.0
170,shandon baptiste,gd GRN,Brentford,eng Premier League,12,431,0.0,0.0,0.0,0.04,0.15,MF,24.0,1,0,6,11,5,32.0,33.3,5,0.21,0.42,0.0,0.0,16.9,88.5,87.1,62.5,6.0,13.0,8.0,2.0,19.0,7.0,3.0,3.0,1.0,50.0,5.0,4.0,1.0,3.0,7.0,2.3,8.0,0.0,1.0,0.0,2.0,0.0,0.42,1.0,0.0,0.0,0.0,1.0,0.0,1739,3000000.0
172,antonin barak,cz CZE,Fiorentina,it Serie A,12,704,0.13,0.0,0.13,0.07,0.04,MF,28.0,2,0,5,5,2,30.0,33.3,4,0.13,1.15,0.11,1.0,20.6,91.2,75.5,65.4,8.0,27.0,5.0,0.0,17.0,10.0,3.0,3.0,4.0,33.3,4.0,4.0,1.0,3.0,7.0,1.66,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1648,12000000.0
175,melvin bard,fr FRA,Nice,fr Ligue 1,13,927,0.0,0.0,0.0,0.01,0.04,DF,22.0,3,0,10,8,21,57.0,56.0,26,0.0,0.19,0.0,0.0,17.5,87.9,81.6,52.4,1.0,21.0,8.0,3.0,22.0,34.0,21.0,10.0,3.0,70.0,9.0,15.0,1.0,14.0,16.0,0.78,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647,8000000.0
177,nicolo barella,it ITA,Inter,it Serie A,15,1284,0.35,0.35,0.7,0.13,0.18,MF,25.0,2,0,17,22,5,78.0,68.4,39,0.56,0.91,0.38,0.63,19.1,88.5,82.8,49.3,21.0,66.0,22.0,4.0,67.0,18.0,9.0,8.0,1.0,50.0,8.0,12.0,3.0,9.0,5.0,3.71,45.0,2.0,2.0,0.0,4.0,0.0,0.56,7.0,0.0,1.0,0.0,0.0,0.0,1843,70000000.0
179,ross barkley,eng ENG,Nice,fr Ligue 1,8,390,0.0,0.0,0.0,0.39,0.18,MF,29.0,1,0,4,2,3,25.0,14.3,16,0.46,2.77,0.0,0.0,17.2,86.0,81.2,55.6,11.0,12.0,4.0,0.0,13.0,7.0,3.0,1.0,3.0,60.0,2.0,2.0,0.0,2.0,3.0,4.49,10.0,5.0,2.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1647,10000000.0
181,harvey barnes,eng ENG,Leicester City,eng Premier League,13,1086,0.5,0.0,0.5,0.29,0.05,MF,25.0,0,0,11,14,2,39.0,31.4,15,1.33,2.65,0.19,0.38,17.0,81.8,63.7,46.7,6.0,18.0,14.0,0.0,31.0,11.0,6.0,3.0,2.0,46.2,7.0,13.0,0.0,13.0,4.0,2.24,21.0,0.0,0.0,2.0,3.0,1.0,0.75,5.0,0.0,0.0,2.0,1.0,1.0,1786,32000000.0
186,musa barrow,gm GAM,Bologna,it Serie A,11,688,0.26,0.13,0.39,0.16,0.29,FW,24.0,1,0,7,8,0,35.0,14.3,49,0.78,3.4,0.08,0.33,23.4,87.1,71.2,50.0,16.0,15.0,8.0,6.0,9.0,5.0,3.0,2.0,0.0,66.7,1.0,12.0,0.0,12.0,2.0,3.79,15.0,9.0,2.0,1.0,2.0,0.0,0.26,1.0,1.0,0.0,0.0,0.0,0.0,1608,12000000.0
187,federico baschirotto,it ITA,Lecce,it Serie A,15,1350,0.07,0.0,0.07,0.07,0.0,DF,26.0,2,0,6,5,18,72.0,58.1,6,0.07,0.6,0.11,1.0,9.9,86.6,82.3,54.9,1.0,33.0,2.0,1.0,25.0,17.0,15.0,2.0,0.0,100.0,0.0,20.0,13.0,7.0,80.0,0.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1545,2200000.0
189,alessandro bastoni,it ITA,Inter,it Serie A,11,727,0.0,0.12,0.12,0.06,0.11,DF,23.0,2,0,7,5,8,43.0,61.9,7,0.25,0.5,0.0,0.0,13.3,90.1,93.7,69.6,6.0,47.0,9.0,2.0,37.0,10.0,2.0,6.0,2.0,57.1,3.0,10.0,3.0,7.0,9.0,2.84,18.0,1.0,1.0,1.0,2.0,0.0,0.37,1.0,1.0,0.0,0.0,1.0,0.0,1843,55000000.0
190,simone bastoni,it ITA,Spezia,it Serie A,11,804,0.22,0.22,0.45,0.09,0.1,MF,26.0,4,0,21,9,7,56.0,60.0,77,0.45,1.9,0.12,0.5,21.5,86.4,61.9,37.7,15.0,22.0,8.0,5.0,13.0,34.0,14.0,15.0,5.0,44.4,10.0,15.0,4.0,11.0,8.0,2.8,14.0,8.0,0.0,2.0,0.0,1.0,0.22,2.0,0.0,0.0,0.0,0.0,0.0,1517,7500000.0
191,rodrigo battaglia,ar ARG,Mallorca,es La Liga,11,592,0.0,0.0,0.0,0.02,0.0,MF,31.0,5,0,10,10,5,27.0,56.3,1,0.0,0.3,0.0,0.0,18.0,90.2,84.9,62.5,0.0,22.0,1.0,0.0,15.0,11.0,6.0,5.0,0.0,54.5,5.0,12.0,7.0,5.0,16.0,0.46,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634,1500000.0
192,maximilian bauer,de GER,Augsburg,de Bundesliga,14,1039,0.0,0.0,0.0,0.14,0.03,DF,22.0,6,0,13,16,19,65.0,62.3,1,0.0,0.69,0.0,0.0,8.5,84.7,85.4,37.6,2.0,22.0,2.0,0.0,21.0,16.0,12.0,4.0,0.0,55.6,8.0,11.0,3.0,8.0,45.0,0.95,1.0,2.0,0.0,4.0,2.0,2.0,0.09,0.0,1.0,0.0,0.0,0.0,0.0,1619,3500000.0
195,christoph baumgartner,at AUT,Hoffenheim,de Bundesliga,15,1150,0.31,0.16,0.47,0.36,0.18,MF,23.0,3,0,30,24,11,62.0,38.3,9,0.94,3.05,0.1,0.33,15.6,78.4,78.1,57.1,10.0,36.0,16.0,2.0,34.0,14.0,5.0,8.0,1.0,21.1,15.0,24.0,2.0,22.0,6.0,3.61,31.0,0.0,4.0,3.0,7.0,1.0,0.47,4.0,0.0,0.0,1.0,1.0,0.0,1683,20000000.0
